filename,x,y,z,roll,pitch,yaw
730-N_.png,325.156067,-162.135803,49.794518,-112.853279,-66.410446,"82.616508
"
7300-N_.png,83.829453,-31.1448,12.474827,-50.43919,43.919724,"117.698608
"
7301-N_.png,146.422089,10.933184,20.075909,-123.270073,61.068745,"77.256096
"
7302-N_.png,386.890289,-141.304855,-99.487846,-100.699135,46.983559,"76.219307
"
7303-N_.png,420.900879,95.337479,-50.776104,-87.622215,57.805855,"104.235985
"
7304-N_.png,124.207924,-35.866528,95.749619,-73.360985,48.141754,"96.3685
"
7305-N_.png,260.493011,-180.6306,-62.265541,-110.436028,38.391392,"63.024597
"
7306-N_.png,81.939651,71.718971,28.448015,-65.856209,56.217766,"132.985947
"
7307-N_.png,65.30777,-68.327766,44.589344,-85.056419,27.911743,"51.809483
"
7308-N_.png,381.605743,-51.471043,-7.336455,-76.182121,49.202457,"96.597519
"
7309-N_.png,277.131042,-5.01421,-43.614925,-86.922981,52.649532,"94.723602
"
731-N_.png,207.807007,-14.406593,-5.890569,-106.746559,-62.819649,"103.561378
"
7310-N_.png,389.512665,36.021797,-5.505124,-63.20359,51.42506,"123.98806
"
7311-N_.png,320.757568,-61.505219,107.576477,-59.961174,47.541344,"113.294106
"
7312-N_.png,96.129135,4.6384,-8.226374,-82.116714,52.03788,"97.750481
"
7313-N_.png,241.454163,-224.075348,65.085548,-87.437096,34.535225,"61.237438
"
7314-N_.png,63.04583,-9.678073,-15.118129,-107.334312,54.955727,"82.090431
"
7315-N_.png,94.350815,-119.454231,-36.954163,-98.100418,25.353586,"52.428432
"
7316-N_.png,296.73584,-105.136864,54.864056,-58.20195,46.139778,"107.315079
"
7317-N_.png,78.766144,30.588835,-1.489571,-65.856583,49.815304,"111.460121
"
7318-N_.png,291.94693,-284.608643,71.266518,-74.349579,33.008492,"54.315605
"
7319-N_.png,173.844162,-44.037632,34.159729,-73.501602,51.23838,"104.831444
"
732-N_.png,299.33075,58.669487,-20.832319,-120.353951,-56.15279,"129.443176
"
7320-N_.png,179.977249,65.897919,108.086357,-65.564468,59.179611,"139.090668
"
7321-N_.png,277.922302,45.853855,-189.300323,-135.909607,44.606125,"57.121273
"
7322-N_.png,53.501701,-64.524406,-28.864609,-89.427101,44.329174,"76.684029
"
7323-N_.png,192.188614,138.980942,199.130203,-39.245308,24.54108,"160.336395
"
7324-N_.png,155.058304,59.778851,-46.091396,-97.337563,53.499546,"87.095665
"
7325-N_.png,131.806274,-3.874209,61.376671,-58.558815,47.385952,"114.139626
"
7326-N_.png,239.914795,70.359863,-74.655151,-129.621078,60.144096,"70.976006
"
7327-N_.png,100.017693,-16.834988,12.571684,-84.397285,46.2924,"82.659233
"
7328-N_.png,311.368164,97.632431,36.479622,-64.509705,56.425625,"134.723206
"
7329-N_.png,269.531097,-85.533974,31.239576,-67.332817,49.974857,"108.67968
"
733-N_.png,310.818665,-64.101593,43.825966,-105.18325,-63.585888,"96.265266
"
7330-N_.png,143.668671,37.090851,-2.140753,-86.573769,56.049217,"100.839882
"
7331-N_.png,79.114189,-29.991066,45.809135,-111.735588,40.577385,"63.990585
"
7332-N_.png,66.919189,-193.3965,3.689678,-105.501541,-10.477619,"38.815979
"
7333-N_.png,91.251671,-73.462776,20.033646,-56.248791,48.584644,"128.513199
"
7334-N_.png,247.509155,92.405655,111.554596,-55.564167,50.544731,"141.458679
"
7335-N_.png,71.510574,-56.326843,3.085709,-109.440353,57.514576,"82.998474
"
7336-N_.png,110.422623,64.154099,122.270607,-53.338356,49.313965,"146.179504
"
7337-N_.png,155.194763,19.008608,46.981365,-95.312126,54.227112,"89.363266
"
7338-N_.png,220.960968,62.612526,-37.65522,-90.933014,54.307564,"93.118118
"
7339-N_.png,120.940704,-15.896759,-3.411268,-65.444336,49.752354,"110.113541
"
734-N_.png,125.86348,-60.504665,48.97493,-98.359215,-63.160969,"101.253113
"
7340-N_.png,326.891418,-215.887848,187.721695,-51.586544,44.538841,"103.935692
"
7341-N_.png,397.954468,115.274818,-79.113678,-94.669968,64.94175,"106.659584
"
7342-N_.png,150.903641,-9.837545,31.895323,-65.154961,51.891712,"118.561707
"
7343-N_.png,390.565796,-101.000076,-104.591187,-101.803162,46.101631,"73.374153
"
7344-N_.png,208.900696,-5.078735,-2.170542,-85.282127,51.430202,"92.153725
"
7345-N_.png,206.98558,-17.573748,-14.252159,-107.854149,49.067276,"73.813553
"
7346-N_.png,103.31871,4.583624,-90.775688,-86.070427,60.745037,"109.389763
"
7347-N_.png,77.204132,5.631521,79.106293,-39.206646,27.37899,"159.032547
"
7348-N_.png,206.859589,-11.721642,104.10434,-55.046391,47.735596,"125.077507
"
7349-N_.png,331.448517,-36.092953,-161.555389,-121.702438,56.593861,"72.817261
"
735-N_.png,146.940109,11.29179,-122.483047,-136.535126,-50.361404,"136.306885
"
7350-N_.png,311.437775,6.057472,20.971745,-64.493446,52.354553,"120.851608
"
7351-N_.png,266.699127,-23.055765,50.418163,-66.847244,50.002911,"107.838699
"
7352-N_.png,278.086884,-37.560619,-54.634064,-99.088142,59.301243,"93.394577
"
7353-N_.png,370.77536,153.31604,23.513,-86.877151,66.801498,"117.976761
"
7354-N_.png,275.622101,-26.996883,-41.948082,-106.035065,56.266388,"83.412994
"
7355-N_.png,176.952621,2.263415,-22.173306,-84.558708,52.996319,"95.556564
"
7356-N_.png,207.388824,-0.738816,61.492443,-54.458241,45.858891,"108.635223
"
7357-N_.png,247.864029,-128.409271,-0.694025,-85.730988,41.593922,"71.945145
"
7358-N_.png,335.12558,-55.715397,104.47802,-68.427299,50.356773,"106.23613
"
7359-N_.png,224.901703,50.21431,-87.262436,-108.699074,61.738979,"87.967453
"
736-N_.png,351.249329,125.610245,214.483002,-41.392151,-61.133064,"61.835407
"
7360-N_.png,177.062012,-12.171172,43.068737,-87.012466,58.352203,"103.342529
"
7361-N_.png,326.638,52.968628,29.375978,-76.565582,60.607243,"120.722153
"
7362-N_.png,173.788956,-32.291428,5.627325,-106.785957,58.36153,"85.206566
"
7363-N_.png,317.16568,-50.675812,-91.026932,-100.037575,53.075287,"83.143295
"
7364-N_.png,111.709244,32.851257,33.344284,-88.341492,57.580704,"100.346512
"
7365-N_.png,362.281189,16.588989,-65.628738,-89.235092,61.538143,"106.269875
"
7366-N_.png,93.847221,85.954674,-9.246439,-82.45076,55.480022,"102.352058
"
7367-N_.png,175.554932,-351.237976,108.357544,-53.405331,42.688068,"68.786804
"
7368-N_.png,244.797241,98.592026,32.092342,-58.12645,51.458347,"131.437698
"
7369-N_.png,226.541534,-74.588104,21.131964,-86.103104,53.111481,"93.759331
"
737-N_.png,241.958755,-29.990112,14.371551,-123.387337,-59.68755,"118.081345
"
7370-N_.png,287.804382,115.822884,-30.490946,-106.379868,71.822227,"102.288223
"
7371-N_.png,309.109711,31.953463,-63.680199,-106.920456,60.512165,"87.514374
"
7372-N_.png,146.795898,29.292168,23.106897,-72.843697,51.984585,"104.577744
"
7373-N_.png,256.17276,-97.184303,118.977905,-61.578579,45.442818,"91.750923
"
7374-N_.png,368.080566,-21.49128,-43.183548,-78.548851,54.719151,"104.64695
"
7375-N_.png,208.687241,32.732697,25.694469,-81.354889,56.440205,"105.165413
"
7376-N_.png,346.834259,-151.668732,22.082439,-82.560577,45.777493,"80.67524
"
7377-N_.png,279.509521,1.763354,-125.814682,-99.33564,57.919521,"90.194244
"
7378-N_.png,80.903076,18.867332,-26.69673,-55.768272,47.525288,"115.435425
"
7379-N_.png,411.172943,44.567005,-31.521313,-76.155975,55.376904,"108.871567
"
738-N_.png,173.477036,50.982979,-110.650177,-131.690475,-47.913918,"140.461472
"
7380-N_.png,112.110855,-15.467084,-72.456367,-79.594864,55.26128,"104.368462
"
7381-N_.png,304.97876,180.324677,222.200302,-38.916885,30.286306,"157.439697
"
7382-N_.png,189.414352,-36.336216,-62.03141,-79.595345,50.645336,"93.504128
"
7383-N_.png,212.557175,-12.018339,45.825768,-39.847202,38.894901,"137.483582
"
7384-N_.png,176.040649,56.316185,26.156736,-63.30687,56.422646,"132.837509
"
7385-N_.png,316.491882,-11.226353,44.360405,-62.931454,54.697571,"128.758698
"
7386-N_.png,199.218231,-4.70883,28.912338,-93.917801,64.183197,"104.512779
"
7387-N_.png,396.687012,-22.766708,-59.741867,-89.887787,57.723427,"98.094246
"
7388-N_.png,150.37767,46.55048,44.728138,-65.750168,52.681458,"116.325127
"
7389-N_.png,224.560471,-88.634575,-116.647003,-117.864754,50.14225,"68.261848
"
739-N_.png,196.617523,39.491737,-14.557846,-74.304382,-64.775215,"91.399452
"
7390-N_.png,90.810074,-65.146294,6.818267,-83.202209,57.424294,"104.371994
"
7391-N_.png,46.140526,121.098335,-34.917679,89.094177,84.946999,"-40.910419
"
